cve_agem,nom_agem
001,Abalá
001,Abasolo
001,Abejones
001,Acacoyagua
001,Acajete
002,Acala
002,Acámbaro
001,Acambay De Ruíz Castañeda
002,Acanceh
003,Acapetahua
001,Acaponeta
001,Acapulco De Juárez
002,Acateno
076,Acatepec
001,Acatic
001,Acatlán
002,Acatlán De Juárez
002,Acatlán De Pérez Figueroa
004,Acatzingo
002,Acaxochitlán
003,Acayucan
002,Acolman
001,Aconchi
005,Acteopan
003,Actopan
022,Acuamanala De Miguel Hidalgo
001,Acuitzio
005,Acula
003,Aculco
006,Acultzingo
002,Acuña
004,Agua Blanca De Iturbide
204,Agua Dulce
002,Agua Prieta
002,Agualeguas
001,Aguascalientes
002,Aguililla
001,Ahome
002,Ahuacatlán
002,Ahuacuotzingo
001,Ahualulco
003,Ahualulco De Mercado
007,Ahuatlán
008,Ahuazotepec
009,Ahuehuetitla
001,Ahumada
005,Ajacuba
010,Ajalpan
003,Ajuchitlán Del Progreso
003,Akil
160,Álamo Temapache
003,Alamos
002,Alaquines
011,Albino Zertuche
004,Alcozauca De Guerrero
113,Aldama
006,Alfajayucan
012,Aljojuca
003,Allende
007,Almoloya
004,Almoloya De Alquisiras
005,Almoloya De Juárez
006,Almoloya Del Río
008,Alpatláhuac
005,Alpoyeca
003,Altamira
004,Altamirano
004,Altar
013,Altepexi
009,Alto Lucero De Gutiérrez Barrios
010,Altotonga
011,Alvarado
010,Álvaro Obregón
004,Amacueca
001,Amacuzac
007,Amanalco
005,Amatán
006,Amatenango De La Frontera
007,Amatenango Del Valle
008,Amatepec
005,Amatitán
012,Amatitlán
003,Amatlán De Cañas
014,Amatlán De Los Reyes
001,Amaxac De Guerrero
001,Amealco De Bonfil
006,Ameca
009,Amecameca
014,Amixtlán
015,Amozoc
005,Anáhuac
004,Angamacutiro
005,Angangueo
008,Angel Albino Corzo
015,Angel R. Cabada
002,Angostura
174,Ánimas Trujano
004,Antiguo Morelos
008,Apan
004,Apaseo El Alto
005,Apaseo El Grande
006,Apatzingán
010,Apaxco
006,Apaxtla
017,Apazapan
002,Apetatitlán De Antonio Carvajal
005,Apizaco
006,Apodaca
007,Aporo
001,Apozol
002,Apulco
008,Aquila
004,Aquiles Serdán
003,Aquismón
016,Aquixtla
007,Aramberri
008,Arandas
007,Arcelia
009,Ario
005,Arivechi
006,Arizpe
004,Armadillo De Los Infante
001,Armería
009,Arriaga
003,Arroyo Seco
004,Arteaga
005,Ascensión
002,Asientos
019,Astacinga
003,Asunción Cacalotepec
004,Asunción Cuyotepeji
005,Asunción Ixtaltepec
006,Asunción Nochixtlán
007,Asunción Ocotlán
008,Asunción Tlacolulita
006,Atarjea
